id;nome;ano;classifica
1;Um sonho de liberdade;1994;16
2;O podereso chefão;1972;14
4;O Poderoso Chefão II;1974;14
5;12 Homens e uma Sentença;1957;Livre
6;A Lista de Schindler;1993;14
7;O Senhor dos Anéis: O Retorno do Rei;2003;14
24;O Resgate do Soldado Ryan;1998;14
8;Pulp Fiction - Tempo de Violência;2001;18
9;O Senhor dos Anéis: A Sociedade do Anel;2001;12
11;Forrest Gump: O Contador de Histórias;1994;14
12;Clube da Luta;1999;18
13;O Senhor dos Anéis: As Duas Torres;2002;12
14;Homem-Aranha: Através do Aranhaverso;2023;10
15;A Origem;2010;14
19;Um Estranho no Ninho;1975;16
20;Seven: Os Sete Crimes Capitais;1995;14
21;A Felicidade Não se Compra;1946;Livre
23;O Silêncio dos Inocentes;1991;14
25;Cidade de Deus;2002;18
26;Interestelar;2014;10
27;A Vida é Bela;1997;Livre
28;À Espera de um Milagre;1999;18
30;O Exterminador do Futuro 2: O Julgamento Final;1991;14
31;De Volta para o Futuro;1985;Livre
32;A Viagem de Chihiro;2001;Livre
33;O Pianista:2002;14;
34;Psicose;1960;14
35;Parasita;2019;16
10;Três Homens em Conflito;1966;14
37;O Rei Leão;1994;Livre
38;Gladiador;2000;14
18;Os Bons Companheiros;1990;14
39;A Outra História Americana;1998;14
40;Os Infiltrados;2006;18
40;Os Infiltrados;2006;18
40;Os Infiltrados;2006;18
41;Whiplash: Em Busca da Perfeição;2014;12
45;Túmulo dos Vagalumes;1988;12
56;Django Livre;2012;16
68;Beleza Americana;1999;14
42;O Grande Truque;2006;14
61;Glória Feita de Sangue;1957;14
22;Os Sete Samurais;1954;10
43;Os Suspeitos;1995;14
44;Casablanca;1942;Livre
46;Harakiri;1962;16
3;Batman: O Cavaleiro das Trevas;2008;12
3;Batman: O Cavaleiro das Trevas;2008;12
3;Batman: O Cavaleiro das Trevas;2008;12
62;Vingadores: Guerra Infinita;2018;12
17;Matrix;1999;14
36;O Profissional;1994;14
29;Star Wars: Episódio IV - Uma Nova Esperança;1977;Livre
47;Intocáveis;2011;14
48;Tempos Modernos;1936;Livre
75;Toy Story;1995;Livre
78;Coringa;2019;16
49;Cinema Paradiso;1988;10
50;Era uma Vez no Oeste;1968;14
51;Janela Indiscreta;1954;14
52;Alien - O 8º Passageiro;1979;14
54;Apocalypse Now;1979;16
55;Amnésia;2000;16
99;M, o Vampiro de Dusseldorf;1931;12
57;Os Caçadores da Arca Perdida;1981;Livre
58;WALL·E;2008;Livre
59;A Vida dos Outros;2006;12
60;Crepúsculo dos Deuses;1950;Livre
98;Cidadão Kane;1941;Livre
83;Your Name;2016;Livre
86;Céu E Inferno;1963;Not Rated
63;O Iluminado;1980;16
100;Intriga Internacional;1959;14
88;Cafarnaum;2018;16
64;O Grande Ditador;1940;Livre
53;Luzes da Cidade;1931;Livre
92;Brilho Eterno de uma Mente sem Lembranças;2004;14
65;Testemunha de Acusação;1957;Livre
77;O Barco: Inferno no Mar;1981;14
82;Era uma Vez na América;1984;18
79;Vingadores: Ultimato;2019;12
66;Homem-Aranha: No Aranhaverso;1957;12
67;Aliens, O Resgate;1986;14
69;Batman: O Cavaleiro das Trevas Ressurge;2012;12
70;Dr Fantástico;1964;10
89;Toy Story 3;2010;Livre
71;Bastardos Inglórios;2009;18
16;Star Wars: Episódio V - O Império Contra-Ataca;1980;Livre
16;Star Wars: Episódio V - O Império Contra-Ataca;1980;Livre
16;Star Wars: Episódio V - O Império Contra-Ataca;1980;Livre
72;Oldboy;2003;16
73;Viva: A Vida é uma Festa;2017;Livre
74;Amadeus;1984;Livre
76;Coração Valente;1995;16
80;Princesa Mononoke;1997;12
81;Gênio Indomável;1997;14
84;3 Idiotas;2009;12
85;Cantando na Chuva;1952;Livre
87;Réquiem para um Sonho;2000;18
90;Star Wars, Episódio VI: O Retorno do Jedi;1983;Livre
91;Vá e Veja;1985;18
94;A Caça;2012;14
93;2001: Uma Odisséia no Espaço;1968;Livre
95;Cães de Aluguel;1992;18
96;Lawrence da Arábia;1962;14
97;Viver;1952;Not Rated
